a	(ā) 
admire	(ād-mīr') 
admissible	(ād-mĭs'ə-bəl) 
admission	(ād-mĭsh'ən) 
admit	(ād-mĭt') 
admittance	(ād-mĭt'ns) 
admix	(ād-mĭks') 
admixture	(ād-mĭks'chər) 
admonish	(ād-mŏn'ĭsh) 
admonition	(ād'mə-nĭsh'ən) 
adnate	(ād'nāt') 
adnexa	(ād-něk'sə) 
adnoun	(ād'noun') 
adobe	(ə-dō'bē) 
adobo	(ä-dō'bō) 
ado	(ə-dōō') 
adolescence	(ād'l-ěs'əns) 
adolescent	(ād'l-ěs'ənt) 
Adonis	(ə-dŏn'ĭs, ə-dō'nĭs) 
adopt	(ə-dŏpt') 
adorable	(ə-dôr'ə-bəl, ə-dōr'-) 
adoration	(ād'ə-rā'shən) 
adore	(ə-dôr', ə-dōr') 
adorn	(ə-dôrn') 
adornment	(ə-dôrn'mənt) 
ADP	(ā'dē'pē') 
adrenalectomy	(ə-drē'nə-lěk'tə-mē) 
Adrenalin	(ə-drěn'ə-lĭn) 
adrenaline	(ə-drěn'ə-lĭn) 
adrenalize	(ə-drē'nə-līz', ə-drěn'ə-) 
adrenochrome	(ə-drē'nō-krōm', -nə-) 
adrenocorticosteroid	(ə-drē'nō-kôr'tĭ-kō-stîr'oid, -stěr'-) 
adrenocorticotropic hormone	(ə-drē'nō-kôr'tĭ-kō-trŏp'ĭk, -trō'pĭk) 
adrenocorticotropin	(ə-drē'nō-kôr'tĭ-kō-trŏp'ĭn, -trō'pĭn) 
Adriamycin	(ā'drē-ə-mī'sən) 
Adrianople	(ā'drē-ə-nō'pəl) 
adrift	(ə-drĭft') 
adroit	(ə-droit') 
adsorb	(ād-sôrb', -zôrb') 
adsorbate	(ād-sôr'bĭt, -bāt', -zôr'-) 
adsorbent	(ād-sôr'bənt, -zôr'-) 
adsorption	(ād-sôrp'shən) 
adsorption	(ād-sôrp'shən, -zôrp'-) 
adulation	(āj'ə-lā'shən) 
adult	(ə-dŭlt', ād'ŭlt) 
adulterant	(ə-dŭl'tər-ənt) 
adulterate	(ə-dŭl'tə-rāt') 
adulterer	(ə-dŭl'tər-ər) 
adulteress	(ə-dŭl'trĭs, -tər-ĭs) 
adulterine	(ə-dŭl'tə-rīn', -rēn') 
adumbrate	(ād'əm-brāt', ə-dŭm'-) 
adust	(ə-dŭst') 
advancement	(ād-vāns'mənt) 
advantage	(ād-vān'tĭj) 
advantageous	(ād'vān-tā'jəs, -vən-) 
advect	(ād-věkt') 
advection	(ād-věk'shən) 
advent	(ād'věnt') 
Adventist	(ād'věn'tĭst, ād-věn'-) 
adventitia	(ād'věn-tĭsh'ə, -vən-) 
adventitious	(ād'věn-tĭsh'əs, -vən-) 
adventive	(ād-věn'tĭv) 
adventure	(ād-věn'chər) 
adventurer	(ād-věn'chər-ər) 
adventuresome	(ād-věn'chər-səm) 
adventuress	(ād-věn'chər-ĭs) 
adventurism	(ād-věn'chə-rĭz'əm) 
adventurous	(ād-věn'chər-əs) 
adverb	(ād'vûrb) 
adverbial	(ād-vûr'bē-əl) 
adversary	(ād'vər-sěr'ē) 
adversative	(ād-vûr'sə-tĭv) 
adverse	(ād-vûrs', ād'vûrs') 
adversity	(ād-vûr'sĭ-tē) 
advert	(ād-vûrt') 
advert	(ād'vûrt) 
advertence	(ād-vûr'tns) 
advertency	(ād-vûr'tn-sē) 
advertise	(ād'vər-tīz') 
advertisement	(ād'vər-tīz'mənt, ād-vûr'tĭs-, -tĭz-) 
advertising	(ād'vər-tī'zĭng) 
advertorial	(ād'vər-tôr'ē-əl, -tōr'-) 
advice	(ād-vīs') 
advisable	(ād-vī'zə-bəl) 
advise	(ād-vīz') 
advisement	(ād-vīz'mənt) 
advocate	(ād'və-kāt') 
adytum	(ād'ĭ-təm) 
adz	(ādz)
adze	(ādz)
Adzharia	(ə-jär'ē-ə)
aeciospore	(ē'sē-ə-spôr', -shē-) 
aeciospore	(ē'sē-ə-spôr', -spōr', -shē-) 
aecium	(ē'sē-əm, ē'shē-) 
aecium	(ē'sē-əm, ē'shē-əm) 
aedes	(ā-ē'dēz) 
aedile	(ē'dīl') 
Aegean	(ĭ-jē'ən) 
Aegina	(ĭ-jī'nə) 
Aegir	(āg'ər, ěj'ĭr) 
Aegospotami	(ē'gəs-pŏt'ə-mī') 
Aeneas	(ĭ-nē'əs) 
Aeolia	(ē-ō'lē-ə) 
Aeolic	(ē-ŏl'ĭk) 
Aeolis	(ē'ə-lĭs) 
Aeolus	(ē'ə-ləs) 
aeon	(ē'ŏn', ē'ən) 
aepyornis	(ē'pē-ôr'nĭs) 
aerate	(âr'āt) 
aerenchyma	(â-rěng'kə-mə) 
aerial	(âr'ē-əl, ā-îr'ē-əl) 
aerialist	(âr'ē-ə-lĭst) 
aerie	(âr'ē, îr'ē)
aeroballistics	(âr'ō-bə-lĭs'tĭks) 
aerobatics	(âr'ə-bāt'ĭks) 
aerobe	(âr'ōb') 
aerobicize	(â-rō'bĭ-sīz') 
aerobiology	(âr'ō-bī-ŏl'ə-jē) 
aerobiosis	(âr'ō-bī-ō'sĭs) 
aeroculture	(âr'ə-kŭl'chər) 
aerodrome	(âr'ə-drōm') 
aerodynamic	(âr'ō-dī-nām'ĭk) 
aerodynamics	(âr'ō-dī-nām'ĭks) 
aeroembolism	(âr'ō-ěm'bə-lĭz'əm) 
aerology	(â-rŏl'ə-jē) 
aeromagnetics	(âr'ō-māg-nět'ĭks) 
aeromedicine	(âr'ō-měd'ĭ-sĭn) 
aerometeorograph	(âr'ō-mē'tē-ôr'ə-grāf', -ŏr'-) 
aerometer	(â-rŏm'ĭ-tər) 
aeronautic	(âr'ə-nô'tĭk) 
aeroneurosis	(âr'ō-nŏŏ-rō'sĭs, -nyŏŏ-) 
aeronomy	(â-rŏn'ə-mē) 
aeropause	(âr'ō-pôz') 
aerophagia	(âr'ə-fā'jə) 
aerophobia	(âr'ə-fō'bē-ə) 
aerophore	(âr'ə-fôr', -fōr') 
aerophyte	(âr'ə-fīt') 
aeroplane	(âr'ə-plān') 
aeroponics	(âr'ə-pŏn'ĭks) 
aerospace	(âr'ō-spās') 
aerostat	(âr'ō-stāt') 
aerothermodynamics	(âr'ō-thûr'mō-dī-nām'ĭks) 
aery	(âr'ē, ā'ə-rē) 
aery	(âr'ē, îr'ē)
aery	(âr'ē, îr'ē) 
Aeschylus	(ěs'kə-ləs, ē'skə-) 
Aesculapius	(ěs'kyə-lā'pē-əs) 
Aesir	(ā'sîr', ā'zîr') 
Aesop	(ē'səp, -sŏp') 
aesthesia	(ěs-thē'zhə)
aesthetic	(ěs-thět'ĭk)
aesthetician	(ěs'thĭ-tĭsh'ən)
aestheticism	(ěs-thět'ĭ-sĭz'əm)
aestivate	(ěs'tə-vāt') 
aestivation	(ěs'tə-vā'shən) 
Aether	(ē'thər) 
aetiology	(ē'tē-ŏl'ə-jē) 
afar	(ə-fär') 
affable	(āf'ə-bəl) 
affair	(ə-fâr') 
affectation	(āf'ěk-tā'shən) 
affected	(ə-fěk'tĭd) 
affect	(ə-fěkt') 
affectionate	(ə-fěk'shə-nĭt) 
affection	(ə-fěk'shən) 
affective	(ə-fěk'tĭv) 
affectless	(āf'fěkt'lĭs) 
affenpinscher	(āf'ən-pĭn'shər) 
afferent	(āf'ər-ənt) 
affiance	(ə-fī'əns) 
affidavit	(āf'ĭ-dā'vĭt) 
affiliate	(ə-fĭl'ē-āt') 
affine	(ə-fīn') 
affirmation	(āf'ər-mā'shən) 
affirmative	(ə-fûr'mə-tĭv) 
affirm	(ə-fûrm') 
affix	(ə-fĭks') 
afflict	(ə-flĭkt') 
affliction	(ə-flĭk'shən) 
